event_lon,event_lat
-61.47881639003754,-26.759098009672016
-61.49100406980142,-26.68394065112807
-61.40365903149359,-26.685971931088716
-61.40365903149359,-26.685971931088716
-61.49100406980142,-26.68394065112807
-61.47881639003754,-26.759098009672016
-61.39350263169035,-26.761129289632663
-61.51334814936854,-26.531594654079527
-61.42600311106071,-26.533625934040174
-61.51334814936854,-26.531594654079527
-61.42600311106071,-26.533625934040174
-61.51334814936854,-26.531594654079527
-61.42600311106071,-26.533625934040174
-61.51334814936854,-26.531594654079527
-61.501160469604656,-26.60878329258412
-61.51334814936854,-26.531594654079527
-61.42600311106071,-26.533625934040174
-61.40365903149359,-26.685971931088716
-61.42600311106071,-26.533625934040174
-61.42600311106071,-26.533625934040174
-61.51334814936854,-26.531594654079527
-61.42600311106071,-26.533625934040174
-61.51334814936854,-26.531594654079527
-61.51334814936854,-26.531594654079527
-61.42600311106071,-26.533625934040174
-61.41584671125747,-26.60878329258412
-61.42600311106071,-26.533625934040174
-61.43819079082459,-26.458468575496227
-61.501160469604656,-26.60878329258412
-61.51334814936854,-26.531594654079527
-61.42600311106071,-26.533625934040174
-61.51334814936854,-26.531594654079527
-61.51334814936854,-26.531594654079527
-61.42600311106071,-26.533625934040174
-61.51334814936854,-26.531594654079527
-61.51334814936854,-26.531594654079527
-61.42600311106071,-26.533625934040174
-61.42600311106071,-26.533625934040174
-61.501160469604656,-26.60878329258412
-61.51334814936854,-26.531594654079527
-61.49100406980142,-26.68394065112807
-61.47881639003754,-26.759098009672016
-61.40365903149359,-26.685971931088716
-61.39350263169035,-26.761129289632663
-61.49100406980142,-26.68394065112807
-61.47881639003754,-26.759098009672016
-61.40365903149359,-26.685971931088716
-61.39350263169035,-26.761129289632663
-61.51334814936854,-26.531594654079527
-61.51334814936854,-26.531594654079527
-61.42600311106071,-26.533625934040174
-61.51334814936854,-26.531594654079527
-61.49100406980142,-26.68394065112807
-61.47881639003754,-26.759098009672016
-61.40365903149359,-26.685971931088716
-61.39350263169035,-26.761129289632663
-61.40365903149359,-26.685971931088716
-61.43819079082459,-26.458468575496227
-61.41584671125747,-26.60878329258412
-61.51334814936854,-26.531594654079527
-61.501160469604656,-26.60878329258412
-61.42600311106071,-26.533625934040174
-61.51334814936854,-26.531594654079527
-61.501160469604656,-26.60878329258412
-61.43819079082459,-26.458468575496227
-61.42600311106071,-26.533625934040174
-61.41584671125747,-26.60878329258412
-61.42600311106071,-26.533625934040174
-61.43819079082459,-26.458468575496227
-61.51334814936854,-26.531594654079527
-61.42600311106071,-26.533625934040174
-61.43819079082459,-26.458468575496227
-61.51334814936854,-26.531594654079527
-61.51334814936854,-26.531594654079527
-61.501160469604656,-26.606752012623474
-61.42600311106071,-26.533625934040174
-61.51334814936854,-26.531594654079527
-61.501160469604656,-26.606752012623474
-61.42600311106071,-26.533625934040174
-61.51334814936854,-26.531594654079527
-61.51334814936854,-26.531594654079527
-61.42600311106071,-26.533625934040174
-61.51334814936854,-26.531594654079527
-61.42600311106071,-26.533625934040174
-61.501160469604656,-26.606752012623474
-61.51334814936854,-26.531594654079527
-62.358360612997785,-25.985180344665423
-62.358360612997785,-25.985180344665423
-63.237904835958034,-25.727207789663225
-63.24806123576127,-25.645956591237336
-63.32321859430522,-25.725176509702578
-63.33337499410845,-25.645956591237336
-63.33337499410845,-25.645956591237336
-63.32321859430522,-25.725176509702578
-63.24806123576127,-25.645956591237336
-63.237904835958034,-25.727207789663225
-63.24806123576127,-25.645956591237336
-63.258217635564506,-25.566736672772095
-63.32321859430522,-25.725176509702578
-63.33337499410845,-25.645956591237336
-63.237904835958034,-25.727207789663225
-63.24806123576127,-25.645956591237336
-63.237904835958034,-25.727207789663225
-63.33337499410845,-25.645956591237336
-63.32321859430522,-25.725176509702578
-63.33337499410845,-25.645956591237336
-63.237904835958034,-25.727207789663225
-63.237904835958034,-25.727207789663225
-63.24806123576127,-25.645956591237336
-63.237904835958034,-25.727207789663225
-63.24806123576127,-25.645956591237336
-63.237904835958034,-25.727207789663225
-63.23993611591868,-25.727207789663225
-63.23993611591868,-25.727207789663225
-63.24806123576127,-25.645956591237336
-63.32321859430522,-25.725176509702578
-63.33337499410845,-25.645956591237336
-63.237904835958034,-25.727207789663225
-63.24806123576127,-25.645956591237336
-63.258217635564506,-25.566736672772095
-63.32321859430522,-25.725176509702578
-63.33337499410845,-25.645956591237336
-64.74105200683698,-23.407486074604094
-64.65980080841109,-23.40951735456474
-64.65980080841109,-23.40951735456474
-64.74105200683698,-23.407486074604094
-64.65980080841109,-23.40951735456474
-64.74105200683698,-23.407486074604094
-64.65980080841109,-23.40951735456474
-64.65980080841109,-23.40951735456474
-64.65980080841109,-23.40951735456474
-64.74105200683698,-23.407486074604094
-64.66589464829303,-23.332328716060147
-64.65980080841109,-23.40951735456474
-64.74105200683698,-23.407486074604094
-64.65980080841109,-23.40951735456474
-64.65980080841109,-23.40951735456474
-64.65980080841109,-23.40951735456474
-64.74105200683698,-23.407486074604094
-64.65980080841109,-23.40951735456474
-64.65980080841109,-23.40951735456474
-64.74105200683698,-23.407486074604094
-64.74105200683698,-23.407486074604094
-64.65980080841109,-23.40951735456474
-64.65980080841109,-23.40951735456474
-64.66589464829303,-23.332328716060147
-64.74105200683698,-23.407486074604094
-64.65980080841109,-23.40951735456474
-64.65980080841109,-23.40951735456474
-64.66589464829303,-23.3302974360995
-64.74105200683698,-23.407486074604094
-62.498518930282444,-26.210652420297265
-62.41320517193526,-26.212683700257912
-62.41320517193526,-26.212683700257912
-62.423361571738496,-26.135495061753318
-62.498518930282444,-26.210652420297265
-62.50867533008568,-26.135495061753318
-62.50867533008568,-26.135495061753318
-62.498518930282444,-26.210652420297265
-62.41320517193526,-26.212683700257912
-62.498518930282444,-26.210652420297265
-62.41320517193526,-26.212683700257912
-62.498518930282444,-26.210652420297265
-62.50867533008568,-26.135495061753318
-62.50867533008568,-26.135495061753318
-62.498518930282444,-26.210652420297265
-62.423361571738496,-26.135495061753318
-62.41320517193526,-26.212683700257912
-62.498518930282444,-26.210652420297265
-62.50867533008568,-26.135495061753318
-62.498518930282444,-26.210652420297265
-62.498518930282444,-26.210652420297265
-62.50867533008568,-26.135495061753318
-62.498518930282444,-26.210652420297265
-62.41320517193526,-26.212683700257912
-62.498518930282444,-26.210652420297265
-62.498518930282444,-26.210652420297265
-62.423361571738496,-26.135495061753318
-62.498518930282444,-26.210652420297265
-62.50867533008568,-26.135495061753318
-62.498518930282444,-26.210652420297265
-62.498518930282444,-26.210652420297265
-62.498518930282444,-26.210652420297265
-62.498518930282444,-26.210652420297265
-62.58383268862963,-26.208621140336618
-62.41320517193526,-26.210652420297265
-62.48836253047921,-26.285809778841212
-62.498518930282444,-26.210652420297265
-62.41320517193526,-26.210652420297265
-62.50867533008568,-26.135495061753318
-62.498518930282444,-26.210652420297265
-62.423361571738496,-26.135495061753318
-62.498518930282444,-26.210652420297265
-62.50867533008568,-26.135495061753318
-62.50867533008568,-26.135495061753318
-62.498518930282444,-26.210652420297265
-62.498518930282444,-26.210652420297265
-62.50867533008568,-26.135495061753318
-62.498518930282444,-26.210652420297265
-62.50867533008568,-26.135495061753318
-62.498518930282444,-26.210652420297265
-62.50867533008568,-26.135495061753318
-62.498518930282444,-26.210652420297265
-62.498518930282444,-26.210652420297265
-62.41320517193526,-26.210652420297265
-62.48836253047921,-26.285809778841212
-62.498518930282444,-26.210652420297265
-62.58383268862963,-26.208621140336618
-62.498518930282444,-26.210652420297265
-62.498518930282444,-26.210652420297265
-62.41320517193526,-26.212683700257912
-62.423361571738496,-26.135495061753318
-62.48836253047921,-26.285809778841212
-62.498518930282444,-26.210652420297265
-62.50867533008568,-26.135495061753318
-62.58383268862963,-26.208621140336618
-62.50867533008568,-26.135495061753318
-62.498518930282444,-26.210652420297265
-62.423361571738496,-26.135495061753318
-62.41320517193526,-26.210652420297265
-62.41320517193526,-26.210652420297265
-62.423361571738496,-26.135495061753318
-62.498518930282444,-26.210652420297265
-62.50867533008568,-26.135495061753318
-62.58383268862963,-26.208621140336618
-62.498518930282444,-26.210652420297265
-62.50867533008568,-26.135495061753318
-62.50867533008568,-26.135495061753318
-62.498518930282444,-26.210652420297265
-62.423361571738496,-26.135495061753318
-62.498518930282444,-26.210652420297265
